age,sex,race,marital_status,relationship,functional_weight,education,workclass,occupation,capital_gain,capital_loss,hours_per_week,country_name,target
66, Male, White, Married-civ-spouse, Husband,36364, HS-grad, Local-gov, Craft-repair,0,2267,40, United-States,0
32, Male, White, Never-married, Not-in-family,142675, HS-grad, Private, Craft-repair,0,0,40, United-States,0
28, Female, Black, Never-married, Not-in-family,161087, Some-college, Private, Exec-managerial,0,0,45, Jamaica,0
39, Male, White, Never-married, Not-in-family,32146, Masters, Private, Prof-specialty,0,0,60, United-States,0
31, Male, White, Divorced, Own-child,347166, Some-college, Private, Craft-repair,4650,0,40, United-States,0
48, Male, White, Married-civ-spouse, Husband,126754, Masters, Private, Prof-specialty,15024,0,40, United-States,1
42, Male, White, Divorced, Not-in-family,20809, HS-grad, Private, Craft-repair,0,0,75, United-States,1
41, Female, White, Widowed, Not-in-family,289669, HS-grad, Private, Machine-op-inspct,0,0,40, United-States,0
27, Male, White, Never-married, Unmarried,181280, Masters, Private, Handlers-cleaners,0,0,30, United-States,0
26, Male, Black, Separated, Not-in-family,156976, Assoc-voc, Private, Other-service,0,0,40, United-States,0
50, Female, White, Divorced, Not-in-family,257933, Some-college, Private, Adm-clerical,0,0,40, United-States,0
50, Male, White, Married-civ-spouse, Husband,81548, HS-grad, Private, Prof-specialty,0,0,40, United-States,0
50, Male, White, Married-civ-spouse, Husband,196504, Doctorate, Self-emp-not-inc, Prof-specialty,0,0,23, United-States,0
72, Male, Black, Divorced, Not-in-family,284080, 1st-4th, Private, Other-service,0,0,40, United-States,0
53, Male, Black, Never-married, Not-in-family,233722, Assoc-acdm, Local-gov, Adm-clerical,0,0,40, United-States,0
59, Female, White, Married-civ-spouse, Other-relative,268840, Some-college, Private, Adm-clerical,0,0,16, United-States,1
70, Male, White, Married-civ-spouse, Husband,131060, 7th-8th, Private, Other-service,0,0,25, United-States,0
60, Male, White, Married-civ-spouse, Husband,193235, Assoc-acdm, Private, Adm-clerical,0,0,24, United-States,0
50, Male, White, Married-civ-spouse, Husband,75472, HS-grad, Private, Craft-repair,4386,0,40, ?,0
20, Female, White, Never-married, Own-child,259496, Some-college, Private, Sales,0,0,20, United-States,0
25, Female, White, Married-spouse-absent, Unmarried,35854, Some-college, Private, Sales,0,0,40, United-States,0
36, Male, White, Married-civ-spouse, Husband,218015, Some-college, Private, Machine-op-inspct,0,0,48, United-States,0
74, Female, White, Widowed, Not-in-family,129879, HS-grad, Private, Adm-clerical,15831,0,40, United-States,1
41, Male, White, Married-civ-spouse, Husband,57233, Bachelors, Private, Sales,0,0,70, United-States,0
32, Male, White, Divorced, Own-child,213179, Some-college, Private, Craft-repair,0,0,40, United-States,1
17, Female, White, Never-married, Own-child,187539, 11th, ?, ?,0,0,10, United-States,0
28, Male, White, Married-civ-spouse, Husband,356555, Some-college, Private, Exec-managerial,0,0,48, United-States,0
52, Male, White, Married-civ-spouse, Husband,259363, HS-grad, Private, Craft-repair,0,0,50, United-States,1
21, Male, White, Never-married, Own-child,89154, 11th, Private, Other-service,0,0,42, El-Salvador,0
37, Male, Black, Divorced, Not-in-family,354929, Assoc-acdm, State-gov, Protective-serv,0,0,38, United-States,0
35, Female, White, Never-married, Not-in-family,283305, Bachelors, Private, Exec-managerial,0,0,40, United-States,0
36, Male, White, Divorced, Unmarried,31438, HS-grad, Private, Transport-moving,0,0,43, ?,0
27, Male, White, Never-married, Not-in-family,166350, HS-grad, Private, Sales,0,0,50, United-States,0
35, Female, White, Divorced, Not-in-family,270572, Bachelors, Private, Prof-specialty,0,0,40, United-States,1
19, Male, White, Never-married, Own-child,71650, HS-grad, Private, Farming-fishing,0,0,40, United-States,0
18, Male, White, Never-married, Own-child,110230, 10th, Private, Other-service,0,0,11, United-States,0
51, Male, White, Divorced, Not-in-family,311569, HS-grad, Self-emp-not-inc, Sales,0,0,40, United-States,0
37, Male, White, Married-civ-spouse, Husband,278632, 9th, Private, Transport-moving,0,0,40, United-States,0
34, Male, White, Never-married, Not-in-family,319854, Doctorate, Private, Prof-specialty,0,0,40, Taiwan,1
19, Female, White, Never-married, Own-child,197384, Some-college, Private, Other-service,0,0,10, United-States,0
48, Male, White, Married-civ-spouse, Husband,266764, Some-college, Private, Craft-repair,0,0,45, United-States,1
51, Male, White, Married-civ-spouse, Husband,241843, Preschool, Local-gov, Other-service,0,0,40, United-States,0
26, Male, White, Married-civ-spouse, Husband,213625, Assoc-acdm, Private, Sales,0,0,40, United-States,0
50, Male, White, Divorced, Not-in-family,204447, Some-college, Self-emp-inc, Protective-serv,0,0,40, United-States,0
31, Male, White, Never-married, Not-in-family,212235, Some-college, Private, Sales,0,0,45, United-States,0
72, Male, White, Divorced, Not-in-family,158092, Bachelors, Private, Sales,0,0,30, United-States,0
38, Male, White, Married-civ-spouse, Husband,229009, HS-grad, Private, Other-service,0,0,45, United-States,0
59, Female, White, Widowed, Not-in-family,294395, Masters, Private, Prof-specialty,0,0,40, United-States,0
24, Male, White, Married-civ-spouse, Husband,216469, HS-grad, Private, Machine-op-inspct,0,1579,50, United-States,0
49, Male, White, Married-civ-spouse, Husband,176814, Some-college, Private, Craft-repair,0,0,50, Canada,0
20, Male, White, Never-married, Own-child,175069, Some-college, Private, Adm-clerical,0,0,40, Yugoslavia,0
57, Male, White, Married-civ-spouse, Husband,127728, Bachelors, Private, Exec-managerial,15024,0,50, United-States,1
44, Male, White, Divorced, Not-in-family,302424, HS-grad, Private, Machine-op-inspct,0,0,55, United-States,0
29, Male, White, Married-civ-spouse, Husband,194940, Bachelors, Private, Exec-managerial,0,0,40, United-States,0
42, Male, White, Married-civ-spouse, Husband,120837, HS-grad, Self-emp-not-inc, Craft-repair,0,2042,48, United-States,0
47, Male, White, Married-civ-spouse, Husband,78529, Bachelors, Private, Sales,0,0,60, United-States,1
68, Male, White, Married-civ-spouse, Husband,255276, Some-college, ?, ?,0,0,48, United-States,1
53, Male, Black, Never-married, Not-in-family,226135, 9th, Private, Craft-repair,0,0,40, Jamaica,0
18, Female, White, Never-married, Own-child,267399, 12th, ?, ?,0,0,12, United-States,0
28, Male, White, Never-married, Not-in-family,209205, Bachelors, Private, Prof-specialty,0,0,60, United-States,1
31, Male, Black, Never-married, Not-in-family,219883, HS-grad, Local-gov, Protective-serv,0,0,40, United-States,0
39, Female, White, Never-married, Not-in-family,286261, Masters, Self-emp-inc, Prof-specialty,0,0,40, United-States,0
50, Female, Black, Separated, Unmarried,92969, 1st-4th, Private, Prof-specialty,0,0,40, United-States,0
62, Female, White, Married-civ-spouse, Wife,155094, Assoc-voc, Private, Exec-managerial,0,0,45, United-States,1
43, Male, White, Married-civ-spouse, Husband,180096, Assoc-voc, Private, Craft-repair,0,0,50, United-States,1
26, Male, White, Never-married, Not-in-family,189590, Some-college, Private, Adm-clerical,0,0,30, United-States,0
42, Female, White, Divorced, Own-child,192397, Some-college, State-gov, Adm-clerical,0,0,38, United-States,0
18, Female, White, Never-married, Own-child,171088, Some-college, Private, Sales,0,0,10, United-States,0
52, Female, White, Married-civ-spouse, Wife,198262, HS-grad, Without-pay, Adm-clerical,0,0,30, United-States,0
36, Male, White, Married-civ-spouse, Husband,321274, Bachelors, Self-emp-not-inc, Farming-fishing,0,0,50, United-States,0
25, Female, Black, Never-married, Other-relative,397962, HS-grad, Private, Adm-clerical,0,0,40, United-States,0
23, Female, White, Never-married, Not-in-family,250037, Some-college, Private, Farming-fishing,0,0,50, United-States,0
30, Male, White, Never-married, Own-child,329425, Some-college, Private, Protective-serv,0,0,48, United-States,0
44, Male, White, Divorced, Own-child,157614, HS-grad, Private, Sales,0,0,38, United-States,0
41, Male, White, Married-civ-spouse, Husband,113324, HS-grad, Private, Handlers-cleaners,0,0,40, United-States,0
24, Male, Amer-Indian-Eskimo, Never-married, Unmarried,259351, Some-college, Private, Craft-repair,0,0,40, Mexico,0
49, Male, White, Married-civ-spouse, Husband,233639, 11th, Private, Other-service,0,0,50, United-States,0
46, Female, White, Divorced, Unmarried,133616, Some-college, Private, Adm-clerical,0,0,40, United-States,0
60, Female, White, Married-spouse-absent, Unmarried,184242, HS-grad, Private, Other-service,0,0,20, United-States,0
49, Male, White, Married-civ-spouse, Husband,65087, Masters, Private, Exec-managerial,15024,0,50, United-States,1
31, Male, White, Divorced, Not-in-family,133861, Assoc-acdm, Private, Exec-managerial,0,0,40, United-States,0
54, Male, White, Married-civ-spouse, Husband,172281, HS-grad, Private, Transport-moving,0,2051,50, United-States,0
31, Male, White, Married-civ-spouse, Husband,181091, Bachelors, Private, Sales,0,0,40, United-States,1
43, Male, White, Married-civ-spouse, Husband,198316, Bachelors, Self-emp-inc, Exec-managerial,0,0,50, United-States,1
48, Male, White, Married-civ-spouse, Husband,216999, HS-grad, Private, Craft-repair,0,0,40, United-States,1
37, Female, White, Married-spouse-absent, Not-in-family,176293, Some-college, Private, Prof-specialty,0,0,30, United-States,0
18, Male, White, Never-married, Own-child,196061, Some-college, ?, ?,0,0,33, United-States,0
52, Male, White, Married-civ-spouse, Husband,110748, Masters, Private, Prof-specialty,0,0,50, United-States,1
54, Female, White, Never-married, Not-in-family,425804, Some-college, Private, Exec-managerial,0,0,45, United-States,1
24, Male, White, Never-married, Own-child,121313, Some-college, Private, Transport-moving,0,0,50, United-States,0
43, Male, White, Married-civ-spouse, Husband,243432, HS-grad, Self-emp-not-inc, Craft-repair,0,0,60, United-States,0
38, Male, White, Married-civ-spouse, Husband,132879, HS-grad, Private, Craft-repair,7298,0,50, United-States,1
20, Female, White, Never-married, Own-child,205970, Some-college, Private, Craft-repair,0,0,25, United-States,0
36, Male, White, Married-civ-spouse, Husband,185099, Prof-school, Private, Prof-specialty,0,0,55, United-States,1
51, Female, White, Widowed, Unmarried,68882, 1st-4th, Private, Other-service,0,0,35, Portugal,0
70, Male, White, Married-civ-spouse, Husband,282642, HS-grad, Private, Handlers-cleaners,0,2174,40, United-States,1
35, Male, White, Never-married, Own-child,199753, HS-grad, Private, Machine-op-inspct,0,0,48, United-States,0
36, Male, White, Married-civ-spouse, Husband,103605, HS-grad, Private, Handlers-cleaners,0,0,40, United-States,0
64, Male, White, Married-civ-spouse, Husband,181232, 11th, Private, Craft-repair,0,2179,40, United-States,0
54, Male, White, Married-civ-spouse, Husband,75235, HS-grad, Federal-gov, Exec-managerial,5178,0,40, United-States,1
36, Male, White, Married-civ-spouse, Husband,201117, Bachelors, Private, Exec-managerial,0,0,50, United-States,0
63, Male, Black, Married-civ-spouse, Husband,225102, HS-grad, Private, Handlers-cleaners,0,0,40, ?,0
54, Female, Black, Divorced, Not-in-family,50385, Bachelors, Private, Exec-managerial,0,0,45, United-States,1
29, Male, White, Never-married, Not-in-family,189565, HS-grad, Private, Exec-managerial,2174,0,50, United-States,0
23, Female, White, Married-civ-spouse, Wife,209034, HS-grad, Private, Machine-op-inspct,3942,0,40, United-States,0
43, Female, White, Separated, Not-in-family,172364, HS-grad, Private, Exec-managerial,0,0,48, United-States,0
24, Female, White, Never-married, Own-child,212210, Assoc-acdm, Local-gov, Adm-clerical,0,0,20, ?,0
38, Female, White, Separated, Unmarried,122952, HS-grad, Private, Craft-repair,0,0,35, United-States,0
40, Male, White, Married-civ-spouse, Husband,240504, Assoc-acdm, Local-gov, Exec-managerial,0,0,40, United-States,1
37, Female, White, Never-married, Not-in-family,188503, Bachelors, Private, Adm-clerical,0,0,35, United-States,0
41, Male, White, Married-civ-spouse, Husband,194636, Assoc-voc, Private, Machine-op-inspct,0,0,40, United-States,0
37, Male, White, Divorced, Unmarried,257042, HS-grad, Private, Craft-repair,1506,0,40, United-States,0
50, Female, White, Divorced, Unmarried,128814, HS-grad, Private, Other-service,0,0,25, United-States,0
19, Female, White, Never-married, Own-child,100999, 11th, Self-emp-not-inc, Adm-clerical,0,0,30, United-States,0
28, Male, White, Married-civ-spouse, Husband,156257, Some-college, Private, Craft-repair,0,0,60, United-States,1
28, Male, White, Separated, Other-relative,204600, HS-grad, Private, Protective-serv,0,0,40, United-States,0
35, Male, White, Married-civ-spouse, Husband,126675, HS-grad, Private, Exec-managerial,0,0,48, United-States,0
38, Male, Black, Never-married, Own-child,279315, HS-grad, Private, Other-service,0,0,40, United-States,0
48, Male, Asian-Pac-Islander, Married-civ-spouse, Husband,91251, 7th-8th, Private, Other-service,0,0,30, China,0
23, Male, Black, Never-married, Own-child,291407, Some-college, Private, Sales,0,0,25, United-States,0
21, Male, White, Never-married, Not-in-family,32732, Some-college, Private, Sales,0,0,40, United-States,0
21, Male, White, Never-married, Own-child,278391, Some-college, ?, ?,0,0,16, United-States,0
58, Male, White, Married-civ-spouse, Husband,104333, Some-college, Private, Craft-repair,0,0,40, United-States,1
48, Female, White, Divorced, Unmarried,54759, HS-grad, Private, Prof-specialty,0,0,38, United-States,0
23, Female, White, Married-civ-spouse, Wife,169188, Some-college, Private, Exec-managerial,0,0,25, United-States,0
32, Female, White, Never-married, Not-in-family,118551, Masters, Private, Exec-managerial,0,0,45, United-States,1
25, Male, White, Never-married, Not-in-family,242464, Bachelors, Private, Adm-clerical,0,0,40, United-States,0
23, Female, White, Never-married, Own-child,170091, Some-college, State-gov, Prof-specialty,0,0,6, United-States,0
43, Female, White, Married-civ-spouse, Wife,105862, Some-college, Local-gov, Adm-clerical,0,1902,40, United-States,1
43, Male, White, Never-married, Not-in-family,144778, Bachelors, Federal-gov, Exec-managerial,0,0,40, United-States,1
23, Female, White, Never-married, Not-in-family,305498, Assoc-voc, State-gov, Tech-support,0,0,40, United-States,0
35, Male, White, Married-civ-spouse, Husband,171968, HS-grad, Private, Machine-op-inspct,0,0,40, United-States,0
61, Male, White, Married-civ-spouse, Husband,129246, 10th, Private, Craft-repair,0,0,48, United-States,0
33, Male, Asian-Pac-Islander, Never-married, Own-child,69251, Assoc-voc, Private, Sales,0,0,40, Philippines,0
41, Female, Black, Separated, Unmarried,190591, HS-grad, Private, Other-service,0,0,20, United-States,0
40, Male, White, Married-civ-spouse, Husband,252392, 5th-6th, Private, Other-service,0,0,40, Mexico,0
45, Male, Black, Married-civ-spouse, Husband,261192, HS-grad, Private, Other-service,0,0,40, United-States,0
48, Female, White, Married-civ-spouse, Wife,31264, Some-college, Local-gov, Exec-managerial,5178,0,40, United-States,1
58, Male, White, Married-civ-spouse, Husband,209423, 1st-4th, Private, Other-service,0,0,38, Cuba,0
58, Male, White, Married-civ-spouse, Husband,34788, Some-college, Private, Sales,0,1887,40, United-States,1
22, Female, White, Never-married, Own-child,127647, HS-grad, Private, Other-service,0,0,36, United-States,0
53, Male, White, Married-civ-spouse, Husband,240914, Some-college, Private, Craft-repair,0,0,40, United-States,0
32, Male, White, Never-married, Unmarried,244147, HS-grad, Private, Craft-repair,0,0,10, United-States,0
22, Male, White, Married-civ-spouse, Husband,180449, Some-college, Private, Handlers-cleaners,0,0,28, United-States,0
26, Female, Black, Never-married, Unmarried,159897, Some-college, Private, Exec-managerial,0,0,40, United-States,0
23, Female, White, Never-married, Not-in-family,193090, Bachelors, Private, Prof-specialty,0,0,38, United-States,0
18, Female, White, Never-married, Not-in-family,301814, HS-grad, Private, Sales,0,0,20, United-States,0
41, Male, White, Married-civ-spouse, Husband,220531, Doctorate, Private, Prof-specialty,0,0,50, United-States,1
29, Male, White, Married-civ-spouse, Husband,149324, Some-college, Private, Craft-repair,0,1485,40, United-States,1
29, Male, White, Married-civ-spouse, Husband,132874, HS-grad, Private, Craft-repair,0,0,40, United-States,0
26, Female, White, Divorced, Own-child,176008, HS-grad, Private, Adm-clerical,0,0,40, United-States,0
45, Male, White, Married-civ-spouse, Husband,168038, Bachelors, Private, Exec-managerial,0,0,32, United-States,0
33, Male, White, Married-civ-spouse, Husband,192256, Bachelors, Self-emp-not-inc, Craft-repair,0,0,50, United-States,0
47, Male, White, Divorced, Not-in-family,233511, Masters, Private, Sales,27828,0,60, United-States,1
49, Male, White, Never-married, Other-relative,240869, 7th-8th, Private, Other-service,0,0,35, United-States,0
39, Female, White, Divorced, Not-in-family,245361, Bachelors, Private, Exec-managerial,0,0,25, United-States,0
21, Male, White, Never-married, Other-relative,252024, HS-grad, Private, Handlers-cleaners,0,0,20, Mexico,0
26, Male, White, Never-married, Own-child,120268, Bachelors, Private, Adm-clerical,0,0,24, United-States,0
30, Female, Asian-Pac-Islander, Separated, Unmarried,88913, Some-college, Private, Other-service,0,0,40, United-States,0
47, Male, Black, Married-civ-spouse, Husband,402975, Some-college, Federal-gov, Exec-managerial,0,0,40, United-States,0
49, Male, White, Divorced, Unmarried,259323, HS-grad, Private, Craft-repair,0,0,40, United-States,0
36, Female, White, Married-civ-spouse, Wife,340091, Doctorate, State-gov, Prof-specialty,0,0,36, United-States,1
27, Male, White, Married-civ-spouse, Husband,185670, Bachelors, Private, Sales,0,0,60, United-States,1
47, Male, White, Married-civ-spouse, Husband,148576, Prof-school, Local-gov, Prof-specialty,0,0,35, United-States,0
51, Male, White, Never-married, Not-in-family,64643, HS-grad, Private, Farming-fishing,0,0,60, ?,0
50, Male, White, Married-civ-spouse, Husband,356619, HS-grad, State-gov, Prof-specialty,0,0,48, United-States,1
40, Male, White, Married-civ-spouse, Husband,260761, Bachelors, Private, Adm-clerical,0,0,40, Mexico,0
34, Male, White, Married-civ-spouse, Husband,154120, Masters, Self-emp-inc, Sales,0,0,60, United-States,1
37, Male, White, Married-civ-spouse, Husband,214738, HS-grad, Private, Machine-op-inspct,0,0,40, United-States,0
66, Male, White, Married-civ-spouse, Husband,186324, Bachelors, Private, Sales,0,0,5, United-States,1
48, Male, White, Married-civ-spouse, Husband,96359, Bachelors, Private, Exec-managerial,0,0,60, Greece,1
54, Female, White, Divorced, Unmarried,177675, HS-grad, Private, Adm-clerical,0,0,42, United-States,0
38, Male, White, Married-civ-spouse, Husband,190759, 11th, Private, Craft-repair,0,0,40, United-States,0
50, Male, Asian-Pac-Islander, Married-civ-spouse, Husband,339547, Prof-school, Local-gov, Adm-clerical,0,0,40, Laos,1
22, Female, White, Never-married, Not-in-family,117363, Some-college, Private, Adm-clerical,0,0,35, United-States,0
42, Female, White, Divorced, Unmarried,66460, Some-college, Private, Exec-managerial,0,0,45, United-States,0
50, Male, Asian-Pac-Islander, Married-civ-spouse, Husband,302708, Bachelors, Self-emp-inc, Exec-managerial,7688,0,50, Japan,1
29, Female, White, Divorced, Unmarried,65372, Some-college, ?, ?,0,0,40, United-States,0
49, Male, White, Married-civ-spouse, Husband,203067, Some-college, Private, Prof-specialty,0,0,40, United-States,1
35, Female, White, Never-married, Not-in-family,190174, Some-college, Private, Exec-managerial,0,0,40, United-States,0
19, Female, White, Never-married, Own-child,57145, HS-grad, Private, Other-service,0,0,25, United-States,0
47, Male, White, Married-civ-spouse, Husband,359461, Bachelors, Private, Craft-repair,0,0,40, United-States,0
27, Male, White, Married-civ-spouse, Husband,133696, Some-college, Private, Prof-specialty,0,0,88, United-States,0
53, Male, White, Married-civ-spouse, Husband,228500, HS-grad, Private, Machine-op-inspct,0,0,40, United-States,1
30, Male, White, Married-civ-spouse, Husband,197558, HS-grad, Private, Handlers-cleaners,0,0,40, United-States,0
47, Male, White, Married-civ-spouse, Husband,101684, HS-grad, Private, Craft-repair,0,0,40, United-States,0
45, Female, White, Divorced, Unmarried,164427, Bachelors, Local-gov, Prof-specialty,0,0,40, United-States,0
19, Female, White, Never-married, Not-in-family,356272, Some-college, Private, Adm-clerical,0,0,25, United-States,0
52, Male, White, Married-spouse-absent, Not-in-family,89041, Bachelors, Private, Prof-specialty,0,0,30, United-States,1
47, Male, White, Divorced, Not-in-family,150768, Bachelors, Private, Handlers-cleaners,0,1564,51, United-States,1
68, Female, White, Widowed, Unmarried,214521, Prof-school, Private, Prof-specialty,0,0,16, United-States,0
46, Male, White, Divorced, Not-in-family,45363, Prof-school, Private, Prof-specialty,0,2824,40, United-States,1
41, Male, White, Married-civ-spouse, Husband,126094, HS-grad, Self-emp-not-inc, Exec-managerial,0,0,38, United-States,0
41, Male, White, Married-civ-spouse, Husband,125831, HS-grad, Self-emp-inc, Sales,0,1887,55, United-States,1
25, Male, White, Married-civ-spouse, Husband,75759, HS-grad, Private, Transport-moving,0,0,44, United-States,1
36, Male, White, Married-civ-spouse, Husband,68273, Bachelors, Private, Sales,0,0,40, United-States,1
63, Male, White, Widowed, Unmarried,181929, HS-grad, Private, Exec-managerial,0,0,50, United-States,1
34, Male, White, Married-civ-spouse, Husband,202046, HS-grad, Private, Craft-repair,0,0,35, United-States,1
54, Female, White, Divorced, Unmarried,21698, 10th, Private, Other-service,0,0,40, United-States,0
28, Male, White, Never-married, Not-in-family,72443, Some-college, Private, Exec-managerial,0,1669,60, United-States,0
61, Female, White, Widowed, Not-in-family,161279, HS-grad, ?, ?,0,0,36, United-States,0
36, Male, White, Married-civ-spouse, Husband,136343, Bachelors, Private, Prof-specialty,0,0,40, United-States,1
23, Female, White, Never-married, Own-child,104443, Some-college, Private, Adm-clerical,0,0,40, United-States,0
33, Male, White, Married-civ-spouse, Husband,206609, HS-grad, Self-emp-inc, Exec-managerial,0,0,50, United-States,0
67, Male, White, Married-civ-spouse, Husband,101132, 7th-8th, Private, Craft-repair,1797,0,40, United-States,0
30, Male, White, Never-married, Not-in-family,113129, Some-college, Private, Other-service,0,0,24, United-States,0
