age,sex,race,marital_status,relationship_label,relationship,functional_weight,education,education_num,workclass,occupation,capital_gain,capital_loss,hours_per_week,native_country,country_name,target
66, Male, White, Married-civ-spouse,0, Husband,36364, HS-grad,9, Local-gov, Craft-repair,0,2267,40,39, United-States,0
32, Male, White, Never-married,1, Not-in-family,142675, HS-grad,9, Private, Craft-repair,0,0,40,39, United-States,0
28, Female, Black, Never-married,1, Not-in-family,161087, Some-college,10, Private, Exec-managerial,0,0,45,23, Jamaica,0
39, Male, White, Never-married,1, Not-in-family,32146, Masters,14, Private, Prof-specialty,0,0,60,39, United-States,0
31, Male, White, Divorced,3, Own-child,347166, Some-college,10, Private, Craft-repair,4650,0,40,39, United-States,0
48, Male, White, Married-civ-spouse,0, Husband,126754, Masters,14, Private, Prof-specialty,15024,0,40,39, United-States,1
42, Male, White, Divorced,1, Not-in-family,20809, HS-grad,9, Private, Craft-repair,0,0,75,39, United-States,1
41, Female, White, Widowed,1, Not-in-family,289669, HS-grad,9, Private, Machine-op-inspct,0,0,40,39, United-States,0
27, Male, White, Never-married,4, Unmarried,181280, Masters,14, Private, Handlers-cleaners,0,0,30,39, United-States,0
26, Male, Black, Separated,1, Not-in-family,156976, Assoc-voc,11, Private, Other-service,0,0,40,39, United-States,0
50, Female, White, Divorced,1, Not-in-family,257933, Some-college,10, Private, Adm-clerical,0,0,40,39, United-States,0
50, Male, White, Married-civ-spouse,0, Husband,81548, HS-grad,9, Private, Prof-specialty,0,0,40,39, United-States,0
50, Male, White, Married-civ-spouse,0, Husband,196504, Doctorate,16, Self-emp-not-inc, Prof-specialty,0,0,23,39, United-States,0
72, Male, Black, Divorced,1, Not-in-family,284080, 1st-4th,2, Private, Other-service,0,0,40,39, United-States,0
53, Male, Black, Never-married,1, Not-in-family,233722, Assoc-acdm,12, Local-gov, Adm-clerical,0,0,40,39, United-States,0
59, Female, White, Married-civ-spouse,2, Other-relative,268840, Some-college,10, Private, Adm-clerical,0,0,16,39, United-States,1
70, Male, White, Married-civ-spouse,0, Husband,131060, 7th-8th,4, Private, Other-service,0,0,25,39, United-States,0
60, Male, White, Married-civ-spouse,0, Husband,193235, Assoc-acdm,12, Private, Adm-clerical,0,0,24,39, United-States,0
50, Male, White, Married-civ-spouse,0, Husband,75472, HS-grad,9, Private, Craft-repair,4386,0,40,0, ?,0
20, Female, White, Never-married,3, Own-child,259496, Some-college,10, Private, Sales,0,0,20,39, United-States,0
